id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1177235863182467077,1177235863182467077,1569509876000,2019-09-26,11:57:56,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,¿Querés iniciar un RUG en tu ciudad? @mrqtsp nos cuenta cómo hacerlo en #LatinR2019 pic.twitter.com/GimYFnGol6,['mrqtsp'],[],['https://pbs.twimg.com/media/EFZhxETWwAAnq8p.jpg'],0,2,7,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177235863182467077,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '1025221968654729216', 'username': 'mrqtsp'}]",
1177235113890996230,1177235113890996230,1569509697000,2019-09-26,11:54:57,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,Mesa de comunidades @renrosarioarg @renbaires junto a comunidades de Montevideo y Santiago #LatinR2019 pic.twitter.com/VgGIqgN7DN,"['renrosarioarg', 'renbaires']",[],"['https://pbs.twimg.com/media/EFZhAWOW4AI-j4c.jpg', 'https://pbs.twimg.com/media/EFZhBvDW4AIN46a.jpg', 'https://pbs.twimg.com/media/EFZhFvtXYAERUC4.jpg']",0,3,4,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177235113890996230,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '1042150946170650624', 'username': 'renrosarioarg'}, {'user_id': '1044937544209760257', 'username': 'renbaires'}]",
1177234535714578432,1177234535714578432,1569509559000,2019-09-26,11:52:39,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,Marcos Prunello de  @renrosarioarg nos cuenta qué son los Rugs en #LatinR2019 pic.twitter.com/FyH3wLCVjM,['renrosarioarg'],[],['https://pbs.twimg.com/media/EFZgjthWkAISG4c.jpg'],1,0,4,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177234535714578432,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '1042150946170650624', 'username': 'renrosarioarg'}]",
1177234399693279233,1177234399693279233,1569509527000,2019-09-26,11:52:07,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,.@mrqtsp hablando de los grupos de usuaries de R en el panel de comunidades #LatinR2019 pic.twitter.com/ooPMGPxOfH,['mrqtsp'],[],['https://pbs.twimg.com/media/EFZgcLbX4AASmMG.jpg'],0,0,1,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177234399693279233,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '1025221968654729216', 'username': 'mrqtsp'}]",
1177232579080151041,1177229056514953217,1569509093000,2019-09-26,11:44:53,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,Podés escribirle a @cantoflor_87 por mensaje directo y te cuenta 😉,"['andresrescolino', 'thecarpentries', 'cantoflor_87', '_lacion_']",[],[],2,0,2,[],[],https://twitter.com/LatinR_Conf/status/1177232579080151041,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '554763661', 'username': 'AndresResColino'}, {'user_id': '865339383200702465', 'username': 'thecarpentries'}, {'user_id': '2726856502', 'username': 'cantoflor_87'}, {'user_id': '633700365', 'username': '_lacion_'}]",
1177232535216111621,1177232535216111621,1569509082000,2019-09-26,11:44:42,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,@yabellini nos muestra los recursos disponibles con los que cuenta la comunidad #RLadies en #LatinR2019 pic.twitter.com/kgocQrn5qa,['yabellini'],[],"['https://pbs.twimg.com/media/EFZevSvXoAEEhFe.jpg', 'https://pbs.twimg.com/media/EFZevS1XoAADu-H.jpg']",0,1,5,"['#rladies', '#latinr2019']",[],https://twitter.com/LatinR_Conf/status/1177232535216111621,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '400694446', 'username': 'yabellini'}]",
1177232071368019968,1177232071368019968,1569508972000,2019-09-26,11:42:52,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,.@yabellini hablando sobre los capítulos a nivel global pic.twitter.com/dlbGw2UxoJ,['yabellini'],[],['https://pbs.twimg.com/media/EFZeUhvXoAEi-Mp.jpg'],0,1,8,[],[],https://twitter.com/LatinR_Conf/status/1177232071368019968,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '400694446', 'username': 'yabellini'}]",
1177231189872001024,1177231189872001024,1569508762000,2019-09-26,11:39:22,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,@yabellini nos cuenta sobre #RLadies en #LatinR2019 pic.twitter.com/jpRLn2lY7X,['yabellini'],[],['https://pbs.twimg.com/media/EFZdg_3WsAIX7Jf.jpg'],0,1,6,"['#rladies', '#latinr2019']",[],https://twitter.com/LatinR_Conf/status/1177231189872001024,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '400694446', 'username': 'yabellini'}]",
1177230124581830658,1177230124581830658,1569508508000,2019-09-26,11:35:08,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,.@yabellini hablando sobre la comunidad #Rladies en #LatinR2019 pic.twitter.com/0ZsoPg2B8F,['yabellini'],[],['https://pbs.twimg.com/media/EFZcjQcX4AE7zuT.jpg'],0,1,2,"['#rladies', '#latinr2019']",[],https://twitter.com/LatinR_Conf/status/1177230124581830658,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '400694446', 'username': 'yabellini'}]",
1177229056514953217,1177229056514953217,1569508253000,2019-09-26,11:30:53,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,✔¿Te gustaría participar en @thecarpentries? ¿Te gustaría certificarte como instructor? @cantoflor_87 junto a @_lacion_  nos cuentan cómo hacerlo en #LatinR2019 pic.twitter.com/bII91a2tvm,"['thecarpentries', 'cantoflor_87', '_lacion_']",[],['https://pbs.twimg.com/media/EFZbkwAXUAAfugA.jpg'],1,3,3,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177229056514953217,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '865339383200702465', 'username': 'thecarpentries'}, {'user_id': '2726856502', 'username': 'cantoflor_87'}, {'user_id': '633700365', 'username': '_lacion_'}]",
1177228631736823808,1177228631736823808,1569508152000,2019-09-26,11:29:12,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,Si te interesa @thecarpentries podés ser parte.🖥️💯👌 pic.twitter.com/X9svhkLo8x,['thecarpentries'],[],['https://pbs.twimg.com/media/EFZbMSIXUAAfzBC.jpg'],0,2,4,[],[],https://twitter.com/LatinR_Conf/status/1177228631736823808,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '865339383200702465', 'username': 'thecarpentries'}]",
1177227815680450560,1177227815680450560,1569507957000,2019-09-26,11:25:57,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,.@cantoflor_87 hablando sobre @thecarpentries en #LatinR2019 🎆💻👌 pic.twitter.com/zcbF1MXUnh,"['cantoflor_87', 'thecarpentries']",[],"['https://pbs.twimg.com/media/EFZabesXsAAw2d3.jpg', 'https://pbs.twimg.com/media/EFZactuXUAEcbNv.jpg']",0,1,1,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177227815680450560,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '2726856502', 'username': 'cantoflor_87'}, {'user_id': '865339383200702465', 'username': 'thecarpentries'}]",
1177227666514173952,1177227666514173952,1569507922000,2019-09-26,11:25:22,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,En este momento @cantoflor_87 nos cuenta sobre @thecarpentries en el panel de comunidades en #LatinR2019 pic.twitter.com/15TQ5XVrdg,"['cantoflor_87', 'thecarpentries']",[],['https://pbs.twimg.com/media/EFZaT4cX4AIRjvV.jpg'],0,1,4,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177227666514173952,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '2726856502', 'username': 'cantoflor_87'}, {'user_id': '865339383200702465', 'username': 'thecarpentries'}]",
1177226268053577732,1177226268053577732,1569507588000,2019-09-26,11:19:48,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,.@ma_salmon contestando preguntas en el panel de comunidades sobre @rOpenSci Software Peer Review pic.twitter.com/xTjdOHBPSS,"['ma_salmon', 'ropensci']",[],['https://pbs.twimg.com/media/EFZZC-BWwAAzSZ7.jpg'],0,1,6,[],[],https://twitter.com/LatinR_Conf/status/1177226268053577732,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '2865404679', 'username': 'ma_salmon'}, {'user_id': '342250615', 'username': 'rOpenSci'}]",
1177225738015129603,1177225738015129603,1569507462000,2019-09-26,11:17:42,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,¿Querés contribuir a @rOpenSci ? @ma_salmon nos cuenta como hacer nuestro aporte en #LatinR2019 👇 pic.twitter.com/YcpKHHHUzc,"['ropensci', 'ma_salmon']",[],['https://pbs.twimg.com/media/EFZYjpOXoAILTvI.jpg'],0,2,4,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177225738015129603,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '342250615', 'username': 'rOpenSci'}, {'user_id': '2865404679', 'username': 'ma_salmon'}]",
1177224569247191040,1177224569247191040,1569507183000,2019-09-26,11:13:03,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,En el panel de Comunidades en #LatinR2019 @ma_salmon nos muestra cómo proponer un paquete en @rOpenSci pic.twitter.com/pJ1RvEyWYn,"['ma_salmon', 'ropensci']",[],['https://pbs.twimg.com/media/EFZXfiAW4AE4P4l.jpg'],0,0,4,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177224569247191040,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '2865404679', 'username': 'ma_salmon'}, {'user_id': '342250615', 'username': 'rOpenSci'}]",
1177223645585989632,1177223645585989632,1569506963000,2019-09-26,11:09:23,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,Panel de comunidades @rOpenSci y el criterio de revisión por @ma_salmon #LatinR2019 pic.twitter.com/j7m8vF6U1m,"['ropensci', 'ma_salmon']",[],['https://pbs.twimg.com/media/EFZWqGuXsAArtdU.jpg'],0,0,3,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177223645585989632,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '342250615', 'username': 'rOpenSci'}, {'user_id': '2865404679', 'username': 'ma_salmon'}]",
1177223477729906689,1177223477729906689,1569506923000,2019-09-26,11:08:43,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,Es el turno de @ma_salmon contando del sistema de revisión de paquetes de @rOpenSci pic.twitter.com/vytHHzj0Ky,"['ma_salmon', 'ropensci']",[],['https://pbs.twimg.com/media/EFZWft4WsAAz3Tb.jpg'],0,0,0,[],[],https://twitter.com/LatinR_Conf/status/1177223477729906689,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '2865404679', 'username': 'ma_salmon'}, {'user_id': '342250615', 'username': 'rOpenSci'}]",
1177222810730729472,1177222810730729472,1569506764000,2019-09-26,11:06:04,Hora estándar de Argentina,943420740891791362,latinr_conf,LatinR,,.@ma_salmon hablando de @rOpenSci en #LatinR2019 pic.twitter.com/ULlSeYFKjT,"['ma_salmon', 'ropensci']",[],['https://pbs.twimg.com/media/EFZV5gkXYAE3WZB.jpg'],0,0,2,['#latinr2019'],[],https://twitter.com/LatinR_Conf/status/1177222810730729472,False,,0,,,,,,,"[{'user_id': '943420740891791362', 'username': 'LatinR_Conf'}, {'user_id': '2865404679', 'username': 'ma_salmon'}, {'user_id': '342250615', 'username': 'rOpenSci'}]",
